timestamp_utc,engine,implementation,query,experiment,parallelism,total_records,active_seconds,elapsed_ms,throughput_rec_s_avg,throughput_rec_s_max,busy_pct_avg,backpressure_pct_avg,notes
2026-07-17T22:56:00+00:00,flink,table,q1,1h_wm_uniform_d0_ctrl_p1n1_onephase,1,2229454,210.4,178781.0,10596.0,13046.5,2.9,0.0,throughput=kafka source ingestion
2026-07-17T23:03:04+00:00,flink,table,q1,1h_wm_uniform_d1800_ctrl_p1n1_onephase,1,2229454,212.7,180891.0,10480.7,13056.8,2.9,0.0,throughput=kafka source ingestion
2026-07-17T23:10:08+00:00,flink,table,q1,1h_wm_uniform_d3600_ctrl_p1n1_onephase,1,2229454,212.3,180547.0,10502.3,13041.5,3.8,0.0,throughput=kafka source ingestion
2026-07-17T23:17:13+00:00,flink,table,q2,1h_wm_uniform_d0_ctrl_p1n1_onephase,1,2229454,211.8,180375.0,10528.0,13045.3,5.7,0.0,throughput=kafka source ingestion
2026-07-17T23:24:18+00:00,flink,table,q2,1h_wm_uniform_d1800_ctrl_p1n1_onephase,1,2229454,211.8,180485.0,10524.0,13047.2,5.3,0.0,throughput=kafka source ingestion
2026-07-17T23:31:23+00:00,flink,table,q2,1h_wm_uniform_d3600_ctrl_p1n1_onephase,1,2229454,210.0,178703.0,10614.1,13067.0,4.2,0.0,throughput=kafka source ingestion
2026-07-17T23:38:29+00:00,flink,table,q2,6h_wm_uniform_d0_ctrl_p1n1_onephase,1,2229454,209.7,178344.0,10633.1,13047.1,3.2,0.0,throughput=kafka source ingestion
2026-07-17T23:45:35+00:00,flink,table,q2,6h_wm_uniform_d10800_ctrl_p1n1_onephase,1,2229454,212.0,180906.0,10514.0,13042.6,4.1,0.0,throughput=kafka source ingestion
2026-07-17T23:52:40+00:00,flink,table,q2,6h_wm_uniform_d21600_ctrl_p1n1_onephase,1,2229454,212.2,180860.0,10507.8,13043.9,4.1,0.0,throughput=kafka source ingestion
2026-07-18T00:01:03+00:00,flink,table,q3,1d_wm_uniform_d0_ctrl_p1n1_onephase,1,2229454,288.3,257781.0,7733.2,8716.0,92.7,45.6,throughput=kafka source ingestion
2026-07-18T00:09:00+00:00,flink,table,q3,1d_wm_uniform_d43200_ctrl_p1n1_onephase,1,2229454,337.1,306656.0,6613.7,7398.3,94.2,52.9,throughput=kafka source ingestion
2026-07-18T00:16:24+00:00,flink,table,q3,1d_wm_uniform_d86400_ctrl_p1n1_onephase,1,2229454,353.5,323046.0,6306.5,7084.9,94.5,55.5,throughput=kafka source ingestion
2026-07-18T00:22:38+00:00,flink,table,q3,7d_wm_uniform_d0_ctrl_p1n1_onephase,1,2229454,302.9,272375.0,7360.6,8517.0,93.9,44.1,throughput=kafka source ingestion
2026-07-18T00:31:00+00:00,flink,table,q3,7d_wm_uniform_d302400_ctrl_p1n1_onephase,1,2229454,367.3,336844.0,6069.6,6954.1,94.6,53.7,throughput=kafka source ingestion
2026-07-18T00:38:51+00:00,flink,table,q3,7d_wm_uniform_d604800_ctrl_p1n1_onephase,1,2229454,402.0,371406.0,5546.6,6480.0,94.9,57.8,throughput=kafka source ingestion
