window_start,window_end,airline,num_flights,completed,cancelled,diverted,dep_delay_mean,cancellation_rate,late_departure_rate
"2025-01-01 00:00:00","2025-01-01 01:00:00",AA,12,12,0,0,4.25,0.0,25.0
"2025-01-01 00:00:00","2025-01-01 01:00:00",DL,1,1,0,0,-6.0,0.0,0.0
"2025-01-01 00:00:00","2025-01-01 01:00:00",UA,7,7,0,0,10.571428571428571,0.0,14.285714285714286
"2025-01-01 01:00:00","2025-01-01 02:00:00",DL,2,2,0,0,-5.0,0.0,0.0
"2025-01-01 01:00:00","2025-01-01 02:00:00",UA,1,1,0,0,-3.0,0.0,0.0
"2025-01-01 02:00:00","2025-01-01 03:00:00",UA,1,1,0,0,1.0,0.0,0.0
"2025-01-01 03:00:00","2025-01-01 04:00:00",DL,1,1,0,0,-2.0,0.0,0.0
"2025-01-01 05:00:00","2025-01-01 06:00:00",AA,87,86,0,1,-3.2298850574712645,0.0,4.597701149425287
"2025-01-01 05:00:00","2025-01-01 06:00:00",DL,49,49,0,0,-2.4489795918367347,0.0,4.081632653061225
"2025-01-01 05:00:00","2025-01-01 06:00:00",UA,40,40,0,0,8.7,0.0,5.0
"2025-01-01 05:00:00","2025-01-01 06:00:00",WN,14,14,0,0,1.8571428571428572,0.0,7.142857142857143
"2025-01-01 06:00:00","2025-01-01 07:00:00",AA,149,149,0,0,9.885906040268456,0.0,6.7114093959731544
"2025-01-01 06:00:00","2025-01-01 07:00:00",DL,157,157,0,0,2.2229299363057327,0.0,5.732484076433121
"2025-01-01 06:00:00","2025-01-01 07:00:00",UA,111,111,0,0,7.423423423423423,0.0,10.81081081081081
"2025-01-01 06:00:00","2025-01-01 07:00:00",WN,160,159,0,1,-0.025,0.0,4.375
"2025-01-01 07:00:00","2025-01-01 08:00:00",AA,119,118,1,0,6.432203389830509,0.8403361344537815,8.474576271186441
"2025-01-01 07:00:00","2025-01-01 08:00:00",DL,173,173,0,0,4.312138728323699,0.0,10.982658959537572
"2025-01-01 07:00:00","2025-01-01 08:00:00",UA,142,141,1,0,2.765957446808511,0.704225352112676,9.929078014184396
"2025-01-01 07:00:00","2025-01-01 08:00:00",WN,186,185,1,0,0.14594594594594595,0.5376344086021505,4.324324324324325
"2025-01-01 08:00:00","2025-01-01 09:00:00",AA,155,155,0,0,-1.5741935483870968,0.0,4.516129032258065
"2025-01-01 08:00:00","2025-01-01 09:00:00",DL,144,144,0,0,4.673611111111111,0.0,11.805555555555555
"2025-01-01 08:00:00","2025-01-01 09:00:00",UA,154,154,0,0,0.11038961038961038,0.0,7.792207792207792
"2025-01-01 08:00:00","2025-01-01 09:00:00",WN,193,193,0,0,0.6528497409326425,0.0,6.217616580310881
"2025-01-01 09:00:00","2025-01-01 10:00:00",AA,106,106,0,0,-0.6886792452830188,0.0,6.60377358490566
"2025-01-01 09:00:00","2025-01-01 10:00:00",DL,95,95,0,0,4.4526315789473685,0.0,7.368421052631579
"2025-01-01 09:00:00","2025-01-01 10:00:00",UA,106,103,2,1,9.509615384615385,1.8867924528301887,23.076923076923077
"2025-01-01 09:00:00","2025-01-01 10:00:00",WN,213,212,1,0,3.5707547169811322,0.4694835680751174,9.90566037735849
"2025-01-01 10:00:00","2025-01-01 11:00:00",AA,116,115,0,1,14.681034482758621,0.0,7.758620689655173
"2025-01-01 10:00:00","2025-01-01 11:00:00",DL,116,116,0,0,3.8620689655172415,0.0,12.068965517241379
"2025-01-01 10:00:00","2025-01-01 11:00:00",UA,96,96,0,0,4.989583333333333,0.0,15.625
"2025-01-01 10:00:00","2025-01-01 11:00:00",WN,194,194,0,0,2.2731958762886597,0.0,9.793814432989691
"2025-01-01 11:00:00","2025-01-01 12:00:00",AA,122,122,0,0,8.065573770491802,0.0,11.475409836065573
"2025-01-01 11:00:00","2025-01-01 12:00:00",DL,166,166,0,0,1.0542168674698795,0.0,7.228915662650603
"2025-01-01 11:00:00","2025-01-01 12:00:00",UA,102,102,0,0,8.166666666666666,0.0,19.607843137254903
"2025-01-01 11:00:00","2025-01-01 12:00:00",WN,214,212,2,0,3.7264150943396226,0.9345794392523364,10.377358490566039
"2025-01-01 12:00:00","2025-01-01 13:00:00",AA,111,111,0,0,6.594594594594595,0.0,18.01801801801802
"2025-01-01 12:00:00","2025-01-01 13:00:00",DL,115,114,0,1,4.6173913043478265,0.0,15.652173913043478
"2025-01-01 12:00:00","2025-01-01 13:00:00",UA,102,102,0,0,7.098039215686274,0.0,15.686274509803921
"2025-01-01 12:00:00","2025-01-01 13:00:00",WN,192,192,0,0,6.776041666666667,0.0,18.229166666666668
"2025-01-01 13:00:00","2025-01-01 14:00:00",AA,119,119,0,0,5.823529411764706,0.0,15.126050420168067
"2025-01-01 13:00:00","2025-01-01 14:00:00",DL,90,89,0,1,7.311111111111111,0.0,15.555555555555555
"2025-01-01 13:00:00","2025-01-01 14:00:00",UA,107,105,1,1,15.5,0.9345794392523364,19.81132075471698
"2025-01-01 13:00:00","2025-01-01 14:00:00",WN,201,201,0,0,8.27363184079602,0.0,18.90547263681592
"2025-01-01 14:00:00","2025-01-01 15:00:00",AA,99,99,0,0,7.555555555555555,0.0,13.131313131313131
"2025-01-01 14:00:00","2025-01-01 15:00:00",DL,111,111,0,0,6.504504504504505,0.0,15.315315315315315
"2025-01-01 14:00:00","2025-01-01 15:00:00",UA,112,111,0,1,14.098214285714286,0.0,20.535714285714285
"2025-01-01 14:00:00","2025-01-01 15:00:00",WN,200,200,0,0,8.08,0.0,19.5
"2025-01-01 15:00:00","2025-01-01 16:00:00",AA,115,115,0,0,20.904347826086955,0.0,17.391304347826086
"2025-01-01 15:00:00","2025-01-01 16:00:00",DL,114,114,0,0,7.631578947368421,0.0,15.789473684210526
"2025-01-01 15:00:00","2025-01-01 16:00:00",UA,60,59,1,0,3.0508474576271185,1.6666666666666667,11.864406779661017
"2025-01-01 15:00:00","2025-01-01 16:00:00",WN,188,188,0,0,6.877659574468085,0.0,17.5531914893617
"2025-01-01 16:00:00","2025-01-01 17:00:00",AA,122,121,0,1,6.114754098360656,0.0,14.754098360655737
"2025-01-01 16:00:00","2025-01-01 17:00:00",DL,75,75,0,0,10.546666666666667,0.0,17.333333333333332
"2025-01-01 16:00:00","2025-01-01 17:00:00",UA,124,124,0,0,8.943548387096774,0.0,15.32258064516129
"2025-01-01 16:00:00","2025-01-01 17:00:00",WN,226,226,0,0,7.911504424778761,0.0,20.79646017699115
"2025-01-01 17:00:00","2025-01-01 18:00:00",AA,122,122,0,0,6.30327868852459,0.0,18.0327868852459
"2025-01-01 17:00:00","2025-01-01 18:00:00",DL,113,113,0,0,4.115044247787611,0.0,11.504424778761061
"2025-01-01 17:00:00","2025-01-01 18:00:00",UA,112,111,1,0,13.585585585585585,0.8928571428571429,26.126126126126128
"2025-01-01 17:00:00","2025-01-01 18:00:00",WN,175,175,0,0,9.691428571428572,0.0,21.714285714285715
"2025-01-01 18:00:00","2025-01-01 19:00:00",AA,123,123,0,0,8.16260162601626,0.0,17.073170731707318
"2025-01-01 18:00:00","2025-01-01 19:00:00",DL,77,77,0,0,6.181818181818182,0.0,12.987012987012987
"2025-01-01 18:00:00","2025-01-01 19:00:00",UA,137,137,0,0,9.35036496350365,0.0,17.51824817518248
"2025-01-01 18:00:00","2025-01-01 19:00:00",WN,216,216,0,0,8.75925925925926,0.0,22.22222222222222
"2025-01-01 19:00:00","2025-01-01 20:00:00",AA,115,115,0,0,4.878260869565217,0.0,18.26086956521739
"2025-01-01 19:00:00","2025-01-01 20:00:00",DL,61,61,0,0,-1.3278688524590163,0.0,1.639344262295082
"2025-01-01 19:00:00","2025-01-01 20:00:00",UA,94,90,3,1,11.582417582417582,3.1914893617021276,14.285714285714286
"2025-01-01 19:00:00","2025-01-01 20:00:00",WN,181,181,0,0,7.6740331491712706,0.0,19.88950276243094
