ts,airline,hour,count,min,p25,p50,p75,p90,max
"2025-01-01 00:00:00",AA,0,13,-11.0,-5.0,0.0,21.12,25.79,45.0
"2025-01-01 00:00:00",AA,1,1,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0
"2025-01-01 00:00:00",AA,5,95,-13.0,-7.03,-5.0,-0.99,0.99,30.0
"2025-01-01 00:00:00",AA,6,155,-15.0,-7.03,-5.0,-2.97,0.99,1418.0
"2025-01-01 00:00:00",AA,7,121,-13.0,-7.03,-4.01,-0.99,5.99,301.0
"2025-01-01 00:00:00",AA,8,168,-14.0,-7.03,-4.01,-0.99,5.99,127.0
"2025-01-01 00:00:00",AA,9,114,-12.0,-5.0,-2.97,0.0,12.06,357.0
"2025-01-01 00:00:00",AA,10,124,-11.0,-5.0,-2.97,0.0,8.94,1559.0
"2025-01-01 00:00:00",AA,11,135,-15.0,-5.0,-2.97,1.99,17.99,432.0
"2025-01-01 00:00:00",AA,12,109,-11.0,-5.0,-0.99,7.03,27.94,339.0
"2025-01-01 00:00:00",AA,13,117,-13.0,-5.99,-2.97,0.0,15.96,156.0
"2025-01-01 00:00:00",AA,14,112,-17.0,-5.99,-2.97,5.0,23.81,244.0
"2025-01-01 00:00:00",AA,15,105,-10.0,-5.0,-1.99,5.99,36.24,1485.0
"2025-01-01 00:00:00",AA,16,128,-16.0,-5.0,-2.97,1.99,21.12,142.0
"2025-01-01 00:00:00",AA,17,114,-10.0,-5.0,-1.99,5.99,36.97,187.0
"2025-01-01 00:00:00",AA,18,117,-22.0,-5.0,-1.99,12.06,40.05,228.0
"2025-01-01 00:00:00",AA,19,107,-12.0,-5.0,-0.99,7.92,25.79,84.0
"2025-01-01 00:00:00",AA,20,104,-17.0,-5.0,-0.99,7.03,24.78,112.0
"2025-01-01 00:00:00",AA,21,68,-16.0,-5.0,-2.97,0.99,19.89,505.0
"2025-01-01 00:00:00",AA,22,70,-12.0,-5.99,-4.01,4.01,15.03,422.0
"2025-01-01 00:00:00",AA,23,24,-7.0,-5.0,-2.97,0.99,7.03,55.0
"2025-01-01 00:00:00",DL,0,1,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
"2025-01-01 00:00:00",DL,1,2,-9.0,-8.94,-8.94,-8.94,-8.94,-1.0
"2025-01-01 00:00:00",DL,3,1,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
"2025-01-01 00:00:00",DL,5,51,-16.0,-7.03,-4.01,-0.99,4.01,30.0
"2025-01-01 00:00:00",DL,6,168,-17.0,-7.03,-5.0,-0.99,7.92,270.0
"2025-01-01 00:00:00",DL,7,180,-19.0,-5.99,-2.97,-0.99,15.03,339.0
"2025-01-01 00:00:00",DL,8,155,-19.0,-7.03,-4.01,0.99,19.11,191.0
"2025-01-01 00:00:00",DL,9,103,-16.0,-5.0,-2.97,0.0,8.94,243.0
"2025-01-01 00:00:00",DL,10,117,-16.0,-7.03,-4.01,0.0,15.96,214.0
"2025-01-01 00:00:00",DL,11,171,-15.0,-5.99,-4.01,0.0,8.94,297.0
"2025-01-01 00:00:00",DL,12,129,-20.0,-5.99,-2.97,5.0,34.82,184.0
"2025-01-01 00:00:00",DL,13,96,-15.0,-5.99,-1.99,4.01,19.11,82.0
"2025-01-01 00:00:00",DL,14,113,-17.0,-5.99,-2.97,7.03,30.88,214.0
"2025-01-01 00:00:00",DL,15,112,-19.0,-5.0,-1.99,5.0,19.89,271.0
"2025-01-01 00:00:00",DL,16,73,-20.0,-5.99,-2.97,5.0,44.26,168.0
"2025-01-01 00:00:00",DL,17,107,-14.0,-7.92,-4.01,0.99,13.07,125.0
"2025-01-01 00:00:00",DL,18,68,-16.0,-5.99,-2.97,1.99,13.07,319.0
"2025-01-01 00:00:00",DL,19,63,-10.0,-5.0,-2.97,0.99,7.03,48.0
"2025-01-01 00:00:00",DL,20,45,-9.0,-5.99,-1.99,7.92,29.08,89.0
"2025-01-01 00:00:00",DL,21,61,-18.0,-5.99,-1.99,2.97,15.03,45.0
"2025-01-01 00:00:00",DL,22,50,-14.0,-5.99,-2.97,0.99,12.06,67.0
"2025-01-01 00:00:00",DL,23,16,-17.0,-10.07,-7.03,-2.97,-0.99,8.0
"2025-01-01 00:00:00",UA,0,7,-7.0,-5.0,-2.97,1.99,5.99,85.0
"2025-01-01 00:00:00",UA,1,1,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
"2025-01-01 00:00:00",UA,2,1,1.0,1.0,1.0,1.0,1.0,1.0
"2025-01-01 00:00:00",UA,5,41,-11.0,-7.03,-5.0,-0.99,1.99,480.0
"2025-01-01 00:00:00",UA,6,111,-15.0,-5.99,-2.97,1.99,16.95,336.0
