ts,airline,hour,count,min,p25,p50,p75,p90,max
2025-01-01 00:00:00,AA,0,13,-11.0,-5.0,0.0,21.12,25.79,45.0
2025-01-01 00:00:00,AA,1,1,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0
2025-01-01 00:00:00,AA,5,97,-13.0,-7.03,-5.0,-0.99,0.99,30.0
2025-01-01 00:00:00,AA,6,161,-15.0,-7.03,-5.0,-2.97,0.99,1418.0
2025-01-01 00:00:00,AA,7,128,-13.0,-7.03,-4.01,-0.99,5.99,301.0
2025-01-01 00:00:00,AA,8,179,-14.0,-7.03,-4.01,-0.99,5.99,127.0
2025-01-01 00:00:00,AA,9,127,-12.0,-5.0,-2.97,0.0,12.06,357.0
2025-01-01 00:00:00,AA,10,131,-11.0,-5.0,-4.01,0.0,12.06,1559.0
2025-01-01 00:00:00,AA,11,148,-15.0,-5.0,-2.97,1.99,17.99,432.0
2025-01-01 00:00:00,AA,12,132,-11.0,-5.0,-1.99,7.92,23.81,339.0
2025-01-01 00:00:00,AA,13,137,-13.0,-5.99,-2.97,1.99,16.95,156.0
2025-01-01 00:00:00,AA,14,132,-17.0,-5.99,-2.97,2.97,21.98,244.0
2025-01-01 00:00:00,AA,15,123,-10.0,-5.0,-1.99,5.0,21.98,1485.0
2025-01-01 00:00:00,AA,16,144,-16.0,-5.0,-2.97,1.99,23.81,142.0
2025-01-01 00:00:00,AA,17,139,-10.0,-5.0,-1.99,5.99,36.97,187.0
2025-01-01 00:00:00,AA,18,145,-22.0,-5.0,-0.99,8.94,36.97,228.0
2025-01-01 00:00:00,AA,19,131,-12.0,-5.0,-0.99,7.92,25.79,84.0
2025-01-01 00:00:00,AA,20,131,-17.0,-4.01,-0.99,7.03,29.08,184.0
2025-01-01 00:00:00,AA,21,87,-16.0,-5.0,-1.99,5.0,29.08,505.0
2025-01-01 00:00:00,AA,22,83,-12.0,-5.99,-4.01,4.01,13.87,422.0
2025-01-01 00:00:00,AA,23,34,-13.0,-5.0,-4.01,0.0,7.03,55.0
2025-01-01 00:00:00,DL,0,1,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
2025-01-01 00:00:00,DL,1,2,-9.0,-8.94,-8.94,-8.94,-8.94,-1.0
2025-01-01 00:00:00,DL,3,1,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
2025-01-01 00:00:00,DL,5,55,-16.0,-7.03,-2.97,-0.99,4.01,30.0
2025-01-01 00:00:00,DL,6,172,-17.0,-7.03,-5.0,-0.99,7.03,270.0
2025-01-01 00:00:00,DL,7,190,-19.0,-5.99,-4.01,-0.99,15.96,339.0
2025-01-01 00:00:00,DL,8,160,-19.0,-5.99,-4.01,0.99,30.27,191.0
2025-01-01 00:00:00,DL,9,109,-16.0,-5.0,-2.97,0.99,10.91,243.0
2025-01-01 00:00:00,DL,10,127,-16.0,-7.03,-4.01,0.0,15.96,214.0
2025-01-01 00:00:00,DL,11,182,-15.0,-5.99,-4.01,0.99,8.94,297.0
2025-01-01 00:00:00,DL,12,141,-20.0,-7.03,-2.97,4.01,32.79,184.0
2025-01-01 00:00:00,DL,13,110,-15.0,-5.0,-1.99,4.01,21.98,82.0
2025-01-01 00:00:00,DL,14,123,-17.0,-5.0,-1.99,5.0,26.84,214.0
2025-01-01 00:00:00,DL,15,128,-19.0,-5.0,-1.99,5.0,19.89,271.0
2025-01-01 00:00:00,DL,16,92,-20.0,-7.03,-2.97,2.97,37.72,168.0
2025-01-01 00:00:00,DL,17,132,-18.0,-7.92,-4.01,1.99,15.96,203.0
2025-01-01 00:00:00,DL,18,83,-16.0,-5.99,-2.97,2.97,15.96,319.0
2025-01-01 00:00:00,DL,19,76,-10.0,-5.0,-2.97,0.99,5.99,48.0
2025-01-01 00:00:00,DL,20,51,-10.0,-7.03,-1.99,7.92,32.79,163.0
2025-01-01 00:00:00,DL,21,77,-18.0,-5.99,-1.99,1.99,13.87,45.0
2025-01-01 00:00:00,DL,22,68,-14.0,-5.99,-2.97,0.99,16.95,872.0
2025-01-01 00:00:00,DL,23,21,-17.0,-7.92,-4.01,-0.99,0.0,11.0
2025-01-01 00:00:00,UA,0,7,-7.0,-5.0,-2.97,1.99,5.99,85.0
2025-01-01 00:00:00,UA,1,1,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
2025-01-01 00:00:00,UA,2,1,1.0,1.0,1.0,1.0,1.0,1.0
2025-01-01 00:00:00,UA,5,41,-11.0,-7.03,-5.0,-0.99,1.99,480.0
2025-01-01 00:00:00,UA,6,114,-15.0,-5.99,-2.97,1.99,15.03,336.0
2025-01-01 00:00:00,UA,7,161,-13.0,-5.99,-2.97,-0.99,15.03,145.0
2025-01-01 00:00:00,UA,8,169,-14.0,-5.99,-2.97,0.99,12.06,71.0
