ts,airline,hour,count,min,p25,p50,p75,p90,max
2025-01-01 00:00:00,AA,0,1047,-20.0,-7.0,-4.0,1.0,21.0,793.0
2025-01-01 00:00:00,AA,1,51,-18.0,-9.0,-6.0,1.0,11.0,318.0
2025-01-01 00:00:00,AA,5,11788,-21.0,-8.0,-5.0,-2.0,10.0,3092.0
2025-01-01 00:00:00,AA,6,21308,-22.0,-7.0,-5.0,-1.0,11.0,3403.0
2025-01-01 00:00:00,AA,7,23708,-25.0,-7.0,-4.0,-1.0,16.0,2466.0
2025-01-01 00:00:00,AA,8,22767,-19.0,-6.0,-3.0,1.0,25.0,3288.0
2025-01-01 00:00:00,AA,9,15406,-21.0,-6.0,-3.0,3.0,29.0,2063.0
2025-01-01 00:00:00,AA,10,16491,-26.0,-5.0,-2.0,7.0,37.0,3298.0
2025-01-01 00:00:00,AA,11,18697,-18.0,-5.0,-2.0,8.0,40.0,2127.0
2025-01-01 00:00:00,AA,12,16154,-24.0,-5.0,-1.0,12.0,50.0,2700.0
2025-01-01 00:00:00,AA,13,16378,-23.0,-5.0,-2.0,11.0,50.0,2112.0
2025-01-01 00:00:00,AA,14,17054,-26.0,-5.0,-1.0,13.0,54.0,1831.0
2025-01-01 00:00:00,AA,15,15082,-26.0,-5.0,-1.0,17.0,60.0,2310.0
2025-01-01 00:00:00,AA,16,16898,-26.0,-5.0,-1.0,15.0,57.0,1789.0
2025-01-01 00:00:00,AA,17,18010,-25.0,-5.0,-1.0,18.0,62.0,2511.0
2025-01-01 00:00:00,AA,18,18463,-34.0,-5.0,0.0,19.0,63.0,2331.0
2025-01-01 00:00:00,AA,19,16405,-27.0,-5.0,0.0,23.0,70.0,1613.0
2025-01-01 00:00:00,AA,20,13602,-28.0,-4.0,0.0,19.0,56.0,2273.0
2025-01-01 00:00:00,AA,21,9964,-20.0,-5.0,0.0,18.0,58.0,2364.0
2025-01-01 00:00:00,AA,22,10291,-21.0,-5.0,-2.0,13.0,46.0,1447.0
2025-01-01 00:00:00,AA,23,3226,-22.0,-6.0,-2.0,7.0,33.0,1041.0
2025-01-01 00:00:00,DL,0,449,-28.0,-10.0,-6.0,0.0,22.0,211.0
2025-01-01 00:00:00,DL,1,237,-26.0,-10.0,-7.0,-1.0,25.0,288.0
2025-01-01 00:00:00,DL,3,6,-7.0,-4.0,-3.0,-2.0,-1.0,-1.0
2025-01-01 00:00:00,DL,5,8016,-23.0,-8.0,-5.0,-1.0,8.0,1142.0
2025-01-01 00:00:00,DL,6,21593,-26.0,-8.0,-5.0,-1.0,9.0,1119.0
2025-01-01 00:00:00,DL,7,27323,-26.0,-7.0,-4.0,0.0,14.0,1040.0
2025-01-01 00:00:00,DL,8,20705,-26.0,-6.0,-4.0,0.0,19.0,1048.0
2025-01-01 00:00:00,DL,9,15272,-24.0,-6.0,-3.0,3.0,26.0,849.0
2025-01-01 00:00:00,DL,10,17742,-26.0,-7.0,-3.0,4.0,30.0,849.0
2025-01-01 00:00:00,DL,11,22840,-23.0,-6.0,-3.0,7.0,35.0,1171.0
2025-01-01 00:00:00,DL,12,19711,-26.0,-6.0,-3.0,7.0,38.0,1160.0
2025-01-01 00:00:00,DL,13,17169,-26.0,-6.0,-2.0,8.0,42.0,1176.0
2025-01-01 00:00:00,DL,14,16015,-25.0,-6.0,-2.0,10.0,44.0,1196.0
2025-01-01 00:00:00,DL,15,20831,-25.0,-5.0,-1.0,13.0,50.0,1188.0
2025-01-01 00:00:00,DL,16,14956,-26.0,-6.0,-1.0,13.0,49.0,1143.0
