ts,airline,hour,count,min,p25,p50,p75,p90,max
"2025-01-01 15:00:00",AA,0,13,-11.0,-5.0,0.0,21.12,25.79,45.0
"2025-01-01 15:00:00",AA,1,1,-7.0,-7.0,-7.0,-7.0,-7.0,-7.0
"2025-01-01 15:00:00",AA,5,97,-13.0,-7.03,-5.0,-0.99,0.99,30.0
"2025-01-01 15:00:00",AA,6,161,-15.0,-7.03,-5.0,-2.97,0.99,1418.0
"2025-01-01 15:00:00",AA,7,128,-13.0,-7.03,-4.01,-0.99,5.99,301.0
"2025-01-01 15:00:00",AA,8,179,-14.0,-7.03,-4.01,-0.99,5.99,127.0
"2025-01-01 15:00:00",AA,9,127,-12.0,-5.0,-2.97,0.0,12.06,357.0
"2025-01-01 15:00:00",AA,10,131,-11.0,-5.0,-4.01,0.0,12.06,1559.0
"2025-01-01 15:00:00",AA,11,148,-15.0,-5.0,-2.97,1.99,17.99,432.0
"2025-01-01 15:00:00",AA,12,118,-11.0,-5.0,-1.99,7.92,26.84,339.0
"2025-01-01 15:00:00",AA,13,100,-13.0,-5.99,-2.97,4.01,19.89,147.0
"2025-01-01 15:00:00",AA,14,31,-7.0,-5.0,-1.99,5.0,17.99,75.0
"2025-01-01 15:00:00",AA,15,1,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
"2025-01-01 15:00:00",DL,0,1,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
"2025-01-01 15:00:00",DL,1,2,-9.0,-8.94,-8.94,-8.94,-8.94,-1.0
"2025-01-01 15:00:00",DL,3,1,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
"2025-01-01 15:00:00",DL,5,55,-16.0,-7.03,-2.97,-0.99,4.01,30.0
"2025-01-01 15:00:00",DL,6,172,-17.0,-7.03,-5.0,-0.99,7.03,270.0
"2025-01-01 15:00:00",DL,7,190,-19.0,-5.99,-4.01,-0.99,15.96,339.0
"2025-01-01 15:00:00",DL,8,160,-19.0,-5.99,-4.01,0.99,30.27,191.0
"2025-01-01 15:00:00",DL,9,109,-16.0,-5.0,-2.97,0.99,10.91,243.0
"2025-01-01 15:00:00",DL,10,127,-16.0,-7.03,-4.01,0.0,15.96,214.0
"2025-01-01 15:00:00",DL,11,182,-15.0,-5.99,-4.01,0.99,8.94,297.0
"2025-01-01 15:00:00",DL,12,123,-15.0,-5.99,-2.97,2.97,27.94,184.0
"2025-01-01 15:00:00",DL,13,79,-15.0,-5.0,-0.99,4.01,19.11,49.0
"2025-01-01 15:00:00",DL,14,40,-12.0,-5.0,-0.99,10.91,45.15,214.0
"2025-01-01 15:00:00",UA,0,7,-7.0,-5.0,-2.97,1.99,5.99,85.0
"2025-01-01 15:00:00",UA,1,1,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
"2025-01-01 15:00:00",UA,2,1,1.0,1.0,1.0,1.0,1.0,1.0
"2025-01-01 15:00:00",UA,5,41,-11.0,-7.03,-5.0,-0.99,1.99,480.0
"2025-01-01 15:00:00",UA,6,114,-15.0,-5.99,-2.97,1.99,15.03,336.0
"2025-01-01 15:00:00",UA,7,161,-13.0,-5.99,-2.97,-0.99,15.03,145.0
"2025-01-01 15:00:00",UA,8,169,-14.0,-5.99,-2.97,0.99,12.06,71.0
"2025-01-01 15:00:00",UA,9,120,-13.0,-5.0,0.0,10.07,32.79,153.0
"2025-01-01 15:00:00",UA,10,109,-10.0,-4.01,-0.99,8.94,22.88,86.0
"2025-01-01 15:00:00",UA,11,116,-12.0,-5.0,0.0,8.94,24.78,178.0
"2025-01-01 15:00:00",UA,12,94,-11.0,-5.0,-1.99,2.97,30.88,153.0
"2025-01-01 15:00:00",UA,13,79,-14.0,-5.0,-0.99,8.94,29.08,244.0
"2025-01-01 15:00:00",UA,14,34,-8.0,-4.01,-0.99,0.0,12.06,147.0
"2025-01-01 15:00:00",WN,5,17,-10.0,-2.97,-1.99,0.99,5.99,34.0
