ts,airline,hour,count,min,p25,p50,p75,p90,max
"2025-01-01 00:00:00",AA,0,80,-11.0,-5.0,-0.99,7.03,30.88,122.0
"2025-01-01 00:00:00",AA,1,12,-18.0,-10.07,-7.03,-5.0,4.01,318.0
"2025-01-01 00:00:00",AA,5,620,-13.0,-7.03,-4.01,0.0,15.03,1594.0
"2025-01-01 00:00:00",AA,6,1000,-18.0,-5.99,-4.01,0.0,15.96,1418.0
"2025-01-01 00:00:00",AA,7,1043,-13.0,-5.99,-2.97,0.99,22.88,741.0
"2025-01-01 00:00:00",AA,8,1064,-14.0,-5.99,-2.97,4.01,30.88,1386.0
"2025-01-01 00:00:00",AA,9,776,-14.0,-5.0,-1.99,5.99,30.88,786.0
"2025-01-01 00:00:00",AA,10,818,-26.0,-5.0,-1.99,13.07,55.15,1559.0
"2025-01-01 00:00:00",AA,11,900,-15.0,-4.01,-0.99,10.91,51.94,582.0
"2025-01-01 00:00:00",AA,12,813,-13.0,-4.01,0.0,19.89,75.95,1470.0
"2025-01-01 00:00:00",AA,13,833,-18.0,-4.01,-0.99,16.95,71.53,1293.0
"2025-01-01 00:00:00",AA,14,769,-23.0,-4.01,0.99,24.78,82.28,1168.0
"2025-01-01 00:00:00",AA,15,713,-16.0,-4.01,0.0,26.84,83.94,1485.0
"2025-01-01 00:00:00",AA,16,822,-20.0,-4.01,0.0,22.88,67.36,1051.0
"2025-01-01 00:00:00",AA,17,832,-20.0,-5.0,-0.99,22.88,64.72,762.0
"2025-01-01 00:00:00",AA,18,887,-22.0,-2.97,2.97,25.79,72.97,910.0
"2025-01-01 00:00:00",AA,19,747,-18.0,-4.01,1.99,27.94,74.45,890.0
"2025-01-01 00:00:00",AA,20,692,-26.0,-2.97,2.97,25.79,70.11,678.0
"2025-01-01 00:00:00",AA,21,473,-16.0,-4.01,1.99,25.79,72.97,686.0
"2025-01-01 00:00:00",AA,22,465,-15.0,-4.01,1.99,21.12,63.44,953.0
"2025-01-01 00:00:00",AA,23,208,-13.0,-5.0,-0.99,10.07,37.72,673.0
"2025-01-01 00:00:00",DL,0,11,-14.0,-8.94,-5.0,1.99,19.11,23.0
"2025-01-01 00:00:00",DL,1,12,-9.0,-8.94,-5.0,-0.99,0.99,36.0
"2025-01-01 00:00:00",DL,3,4,-7.0,-7.0,-4.01,-2.97,-2.97,-2.0
"2025-01-01 00:00:00",DL,5,370,-18.0,-7.03,-2.97,1.99,13.87,358.0
"2025-01-01 00:00:00",DL,6,1045,-20.0,-7.03,-2.97,0.99,15.96,565.0
"2025-01-01 00:00:00",DL,7,1289,-22.0,-5.99,-2.97,1.99,19.89,911.0
"2025-01-01 00:00:00",DL,8,984,-19.0,-5.99,-1.99,4.01,23.81,772.0
"2025-01-01 00:00:00",DL,9,731,-16.0,-5.0,-0.99,5.99,27.94,598.0
"2025-01-01 00:00:00",DL,10,816,-22.0,-5.99,-1.99,7.03,32.14,310.0
"2025-01-01 00:00:00",DL,11,1122,-18.0,-5.0,-0.99,10.07,36.24,709.0
"2025-01-01 00:00:00",DL,12,885,-20.0,-5.0,-0.99,13.07,43.38,1113.0
"2025-01-01 00:00:00",DL,13,754,-16.0,-5.0,-0.99,13.87,41.68,1051.0
"2025-01-01 00:00:00",DL,14,768,-17.0,-5.0,-0.99,13.87,45.15,1109.0
"2025-01-01 00:00:00",DL,15,905,-19.0,-4.01,0.0,17.99,57.4,1161.0
"2025-01-01 00:00:00",DL,16,660,-20.0,-5.0,0.0,19.11,58.56,309.0
"2025-01-01 00:00:00",DL,17,873,-20.0,-5.99,-0.99,15.03,47.0,332.0
"2025-01-01 00:00:00",DL,18,840,-20.0,-5.0,0.0,15.96,52.99,947.0
"2025-01-01 00:00:00",DL,19,713,-22.0,-5.0,0.99,21.12,56.27,906.0
"2025-01-01 00:00:00",DL,20,407,-15.0,-4.01,1.99,21.12,49.9,623.0
"2025-01-01 00:00:00",DL,21,496,-18.0,-4.01,0.0,15.96,45.15,659.0
"2025-01-01 00:00:00",DL,22,542,-17.0,-5.0,-0.99,13.87,39.25,903.0
"2025-01-01 00:00:00",DL,23,171,-17.0,-5.99,-0.99,13.87,45.15,191.0
"2025-01-01 00:00:00",UA,0,46,-10.0,-4.01,0.0,10.91,30.88,125.0
"2025-01-01 00:00:00",UA,1,6,-16.0,-2.97,4.01,5.99,29.08,57.0
"2025-01-01 00:00:00",UA,2,7,-9.0,-7.92,0.99,0.99,0.99,18.0
"2025-01-01 00:00:00",UA,5,255,-18.0,-7.03,-4.01,0.0,10.91,777.0
"2025-01-01 00:00:00",UA,6,740,-17.0,-5.99,-2.97,1.99,19.11,559.0
"2025-01-01 00:00:00",UA,7,1025,-13.0,-5.99,-2.97,4.01,30.27,743.0
"2025-01-01 00:00:00",UA,8,1026,-15.0,-5.0,-1.99,7.03,36.97,640.0
"2025-01-01 00:00:00",UA,9,748,-14.0,-4.01,0.99,13.87,49.9,318.0
"2025-01-01 00:00:00",UA,10,648,-17.0,-4.01,0.0,13.87,41.68,301.0
"2025-01-01 00:00:00",UA,11,697,-15.0,-4.01,0.99,21.98,63.44,389.0
"2025-01-01 00:00:00",UA,12,666,-16.0,-4.01,-0.99,10.91,39.25,420.0
"2025-01-01 00:00:00",UA,13,734,-14.0,-4.01,2.97,22.88,63.44,369.0
"2025-01-01 00:00:00",UA,14,712,-15.0,-4.01,0.99,21.12,87.37,604.0
"2025-01-01 00:00:00",UA,15,445,-16.0,-2.97,1.99,21.12,62.18,414.0
"2025-01-01 00:00:00",UA,16,779,-14.0,-4.01,0.99,19.11,58.56,447.0
"2025-01-01 00:00:00",UA,17,778,-20.0,-4.01,2.97,27.94,70.11,945.0
"2025-01-01 00:00:00",UA,18,804,-20.0,-2.97,2.97,24.78,67.36,1145.0
"2025-01-01 00:00:00",UA,19,596,-19.0,-2.97,4.01,24.78,66.03,902.0
"2025-01-01 00:00:00",UA,20,647,-16.0,-1.99,5.99,30.27,72.97,740.0
"2025-01-01 00:00:00",UA,21,313,-12.0,-1.99,5.99,30.88,64.72,729.0
