ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-01-01 08:15:00,1,11292,39,4,5.974358974358974,107.0,"[(B6,12478,107.00),(UA,13930,56.00),(AA,11298,54.00),(UA,12264,42.00)]"
2025-01-01 08:15:00,2,14771,38,3,12.026315789473687,480.0,"[(UA,11292,480.00),(B6,11697,70.00),(AA,14100,45.00)]"
2025-01-01 08:15:00,3,13204,51,3,3.6862745098039214,106.0,"[(UA,13930,106.00),(F9,14100,87.00),(F9,11433,31.00)]"
2025-01-01 08:15:00,4,11298,30,2,5.033333333333333,128.0,"[(NK,12892,128.00),(F9,10397,82.00)]"
2025-01-01 08:15:00,5,14747,39,2,4.051282051282051,215.0,"[(DL,10721,215.00),(DL,12889,104.00)]"
2025-01-01 08:15:00,6,12892,47,2,0.5106382978723404,47.0,"[(HA,13830,47.00),(DL,12478,33.00)]"
2025-01-01 08:15:00,7,11618,37,2,-0.027027027027026945,45.0,"[(F9,14843,45.00),(UA,11292,38.00)]"
2025-01-01 08:15:00,8,14107,37,2,-0.08108108108108089,124.0,"[(DL,13487,124.00),(F9,11042,34.00)]"
2025-01-01 08:15:00,9,10721,36,1,0.8055555555555551,211.0,"[(DL,12478,211.00)]"
2025-01-01 08:15:00,10,12889,37,1,-0.08108108108108099,42.0,"[(OO,12892,42.00)]"
2025-01-01 09:00:00,1,15304,31,4,22.45161290322581,336.0,"[(UA,11618,336.00),(AA,14107,198.00),(WN,11259,148.00),(F9,15356,42.00)]"
2025-01-01 09:00:00,2,14771,49,4,13.204081632653061,480.0,"[(UA,11292,480.00),(OO,10372,204.00),(B6,11697,70.00),(AA,14100,45.00)]"
2025-01-01 09:00:00,3,11292,44,4,6.7272727272727275,107.0,"[(B6,12478,107.00),(UA,13930,56.00),(AA,11298,54.00),(UA,12264,42.00)]"
2025-01-01 09:00:00,4,12892,61,4,1.754098360655738,47.0,"[(HA,13830,47.00),(UA,11292,35.00),(DL,12478,33.00),(UA,12173,32.00)]"
2025-01-01 09:00:00,5,13204,53,3,3.6037735849056602,106.0,"[(UA,13930,106.00),(F9,14100,87.00),(F9,11433,31.00)]"
2025-01-01 09:00:00,6,11697,30,2,4.5,103.0,"[(B6,10721,103.00),(B6,10721,101.00)]"
2025-01-01 09:00:00,7,14747,44,2,3.75,215.0,"[(DL,10721,215.00),(DL,12889,104.00)]"
2025-01-01 09:00:00,8,10397,38,2,3.3947368421052637,146.0,"[(B6,12478,146.00),(F9,11292,78.00)]"
2025-01-01 09:00:00,9,13930,56,2,2.410714285714286,269.0,"[(MQ,13244,269.00),(UA,11697,48.00)]"
2025-01-01 09:00:00,10,12478,30,2,2.3000000000000007,79.0,"[(DL,13495,79.00),(B6,14679,32.00)]"
2025-01-01 09:45:00,1,13930,149,17,7.771812080536913,269.0,"[(MQ,13244,269.00),(MQ,12339,134.00),(YX,12266,134.00),(AA,11278,127.00),(OO,13367,126.00),(OO,11003,103.00),(UA,10994,84.00),(MQ,11066,68.00),(UA,14683,57.00),(MQ,10529,51.00),(UA,10849,49.00),(UA,11697,48.00),(YX,14122,46.00),(UA,12953,42.00),(OO,11288,37.00),(UA,14679,37.00),(UA,11292,36.00)]"
2025-01-01 09:45:00,2,12892,144,14,5.611111111111111,146.0,"[(DL,12266,146.00),(OO,14747,143.00),(NK,12266,115.00),(DL,10423,90.00),(OO,10849,79.00),(DL,13204,69.00),(OO,11503,51.00),(DL,11298,50.00),(HA,13830,47.00),(UA,12266,36.00),(UA,11292,35.00),(DL,12478,33.00),(OO,14679,32.00),(UA,12173,32.00)]"
