ts,airline,hour,count,min,p25,p50,p75,p90,max
"2025-01-01 00:54:00",AA,0,3,-11.0,-10.91,-5.0,-5.0,-5.0,26.0
"2025-01-01 00:54:00",UA,0,2,-5.0,-5.0,-5.0,-5.0,-5.0,6.0
"2025-01-01 01:34:00",AA,0,3,-11.0,-10.91,-5.0,-5.0,-5.0,26.0
"2025-01-01 01:34:00",UA,0,4,-7.0,-7.0,-5.0,-4.01,-4.01,6.0
"2025-01-01 03:13:00",AA,0,3,-11.0,-10.91,-5.0,-5.0,-5.0,26.0
"2025-01-01 03:13:00",DL,3,1,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
"2025-01-01 03:13:00",UA,0,4,-7.0,-7.0,-5.0,-4.01,-4.01,6.0
"2025-01-01 05:00:00",AA,0,3,-11.0,-10.91,-5.0,-5.0,-5.0,26.0
"2025-01-01 05:00:00",AA,5,1,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
"2025-01-01 05:00:00",DL,3,1,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
"2025-01-01 05:00:00",UA,0,4,-7.0,-7.0,-5.0,-4.01,-4.01,6.0
"2025-01-01 05:15:00",AA,0,3,-11.0,-10.91,-5.0,-5.0,-5.0,26.0
"2025-01-01 05:15:00",AA,5,11,-9.0,-7.92,-5.0,-1.99,0.0,2.0
"2025-01-01 05:15:00",DL,3,1,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
"2025-01-01 05:15:00",UA,0,4,-7.0,-7.0,-5.0,-4.01,-4.01,6.0
"2025-01-01 05:15:00",UA,5,5,-9.0,-5.99,-2.97,-0.99,-0.99,480.0
"2025-01-01 06:00:00",AA,0,3,-11.0,-10.91,-5.0,-5.0,-5.0,26.0
"2025-01-01 06:00:00",AA,5,23,-11.0,-7.92,-5.0,-1.99,-0.99,30.0
"2025-01-01 06:00:00",AA,6,1,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0
"2025-01-01 06:00:00",DL,3,1,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
"2025-01-01 06:00:00",DL,5,11,-16.0,-10.07,-5.0,-0.99,5.99,8.0
"2025-01-01 06:00:00",UA,0,4,-7.0,-7.0,-5.0,-4.01,-4.01,6.0
