ts,airline,hour,count,min,p25,p50,p75,p90,max
"2025-01-01 00:00:00",AA,0,1047,-20.0,-7.03,-4.01,0.99,21.12,793.0
"2025-01-01 00:00:00",AA,1,51,-18.0,-8.94,-5.99,0.0,10.91,318.0
"2025-01-01 00:00:00",AA,5,11788,-21.0,-7.92,-5.0,-1.99,10.07,3092.0
"2025-01-01 00:00:00",AA,6,21308,-22.0,-7.03,-5.0,-0.99,10.91,3403.0
"2025-01-01 00:00:00",AA,7,23708,-25.0,-7.03,-4.01,-0.99,15.96,2466.0
"2025-01-01 00:00:00",AA,8,22767,-19.0,-5.99,-2.97,0.99,24.78,3288.0
"2025-01-01 00:00:00",AA,9,15406,-21.0,-5.99,-2.97,2.97,29.08,2063.0
"2025-01-01 00:00:00",AA,10,16491,-26.0,-5.0,-1.99,7.03,36.97,3298.0
"2025-01-01 00:00:00",AA,11,18697,-18.0,-5.0,-1.99,7.92,40.05,2127.0
"2025-01-01 00:00:00",AA,12,16154,-24.0,-5.0,-0.99,12.06,49.9,2700.0
"2025-01-01 00:00:00",AA,13,16378,-23.0,-5.0,-1.99,10.91,49.9,2112.0
"2025-01-01 00:00:00",AA,14,17054,-26.0,-5.0,-0.99,13.07,54.06,1831.0
"2025-01-01 00:00:00",AA,15,15082,-26.0,-5.0,-0.99,16.95,59.75,2310.0
"2025-01-01 00:00:00",AA,16,16898,-26.0,-5.0,-0.99,15.03,57.4,1789.0
"2025-01-01 00:00:00",AA,17,18010,-25.0,-5.0,-0.99,17.99,62.18,2511.0
"2025-01-01 00:00:00",AA,18,18463,-34.0,-5.0,0.0,19.11,63.44,2331.0
"2025-01-01 00:00:00",AA,19,16405,-27.0,-5.0,0.0,22.88,70.11,1613.0
"2025-01-01 00:00:00",AA,20,13602,-28.0,-4.01,0.0,19.11,56.27,2273.0
"2025-01-01 00:00:00",AA,21,9964,-20.0,-5.0,0.0,17.99,58.56,2364.0
"2025-01-01 00:00:00",AA,22,10291,-21.0,-5.0,-1.99,13.07,46.07,1447.0
"2025-01-01 00:00:00",AA,23,3226,-22.0,-5.99,-1.99,7.03,32.14,1041.0
"2025-01-01 00:00:00",DL,0,449,-28.0,-10.07,-5.99,0.0,21.98,211.0
"2025-01-01 00:00:00",DL,1,237,-26.0,-10.07,-7.03,-0.99,23.81,288.0
"2025-01-01 00:00:00",DL,3,6,-7.0,-4.01,-2.97,-2.97,-1.99,-1.0
"2025-01-01 00:00:00",DL,5,8016,-23.0,-7.92,-5.0,-0.99,7.92,1142.0
"2025-01-01 00:00:00",DL,6,21593,-26.0,-7.92,-5.0,-0.99,8.94,1119.0
"2025-01-01 00:00:00",DL,7,27323,-26.0,-7.03,-4.01,0.0,13.87,1040.0
"2025-01-01 00:00:00",DL,8,20705,-26.0,-5.99,-4.01,0.0,19.11,1048.0
"2025-01-01 00:00:00",DL,9,15272,-24.0,-5.99,-2.97,2.97,25.79,849.0
"2025-01-01 00:00:00",DL,10,17742,-26.0,-7.03,-2.97,4.01,30.27,849.0
"2025-01-01 00:00:00",DL,11,22840,-23.0,-5.99,-2.97,7.03,34.82,1171.0
"2025-01-01 00:00:00",DL,12,19711,-26.0,-5.99,-2.97,7.03,37.72,1160.0
"2025-01-01 00:00:00",DL,13,17169,-26.0,-5.99,-1.99,7.92,41.68,1176.0
"2025-01-01 00:00:00",DL,14,16015,-25.0,-5.99,-1.99,10.07,44.26,1196.0
"2025-01-01 00:00:00",DL,15,20831,-25.0,-5.0,-0.99,13.07,49.9,1188.0
"2025-01-01 00:00:00",DL,16,14956,-26.0,-5.99,-0.99,13.07,48.91,1143.0
"2025-01-01 00:00:00",DL,17,20169,-30.0,-7.03,-1.99,10.91,47.95,1222.0
"2025-01-01 00:00:00",DL,18,17922,-32.0,-5.99,-0.99,15.96,56.27,1173.0
"2025-01-01 00:00:00",DL,19,16217,-30.0,-5.99,-0.99,17.99,63.44,1107.0
"2025-01-01 00:00:00",DL,20,11003,-29.0,-5.99,-0.99,15.96,57.4,1170.0
"2025-01-01 00:00:00",DL,21,10139,-24.0,-5.99,-1.99,12.06,46.07,1118.0
"2025-01-01 00:00:00",DL,22,10834,-22.0,-5.99,-1.99,7.92,39.25,1061.0
"2025-01-01 00:00:00",DL,23,3354,-24.0,-7.03,-2.97,5.99,30.27,942.0
"2025-01-01 00:00:00",UA,0,625,-22.0,-7.03,-2.97,2.97,22.88,590.0
"2025-01-01 00:00:00",UA,1,136,-21.0,-7.03,-1.99,12.06,45.15,694.0
"2025-01-01 00:00:00",UA,2,70,-14.0,-8.94,-7.03,0.99,22.88,92.0
"2025-01-01 00:00:00",UA,5,4104,-19.0,-7.92,-5.99,-1.99,5.0,777.0
"2025-01-01 00:00:00",UA,6,14923,-22.0,-7.92,-5.0,-1.99,7.03,1035.0
"2025-01-01 00:00:00",UA,7,21796,-22.0,-7.92,-5.0,-1.99,8.94,992.0
"2025-01-01 00:00:00",UA,8,20502,-22.0,-7.03,-4.01,-0.99,13.87,1094.0
"2025-01-01 00:00:00",UA,9,16405,-23.0,-5.99,-2.97,2.97,23.81,1084.0
"2025-01-01 00:00:00",UA,10,14547,-23.0,-5.99,-2.97,2.97,26.84,691.0
"2025-01-01 00:00:00",UA,11,14423,-22.0,-5.99,-2.97,5.0,30.88,808.0
"2025-01-01 00:00:00",UA,12,14579,-28.0,-5.99,-2.97,4.01,30.88,1242.0
"2025-01-01 00:00:00",UA,13,15556,-25.0,-5.99,-2.97,5.99,36.24,1349.0
"2025-01-01 00:00:00",UA,14,14590,-21.0,-5.99,-2.97,7.03,47.0,1160.0
"2025-01-01 00:00:00",UA,15,10703,-26.0,-5.99,-1.99,8.94,47.0,1191.0
"2025-01-01 00:00:00",UA,16,15688,-23.0,-5.99,-1.99,8.94,49.9,1072.0
"2025-01-01 00:00:00",UA,17,16313,-23.0,-5.99,-1.99,10.07,48.91,1080.0
"2025-01-01 00:00:00",UA,18,16246,-50.0,-5.99,-1.99,10.91,54.06,1145.0
"2025-01-01 00:00:00",UA,19,14247,-28.0,-5.99,-0.99,13.87,54.06,950.0
"2025-01-01 00:00:00",UA,20,9945,-41.0,-5.0,0.0,17.99,59.75,1144.0
"2025-01-01 00:00:00",UA,21,5203,-24.0,-7.03,-1.99,12.06,47.0,736.0
