ts,airline,hour,count,min,p25,p50,p75,p90,max
2025-01-01 00:00:00,AA,0,98,-11.0,-5.0,-1.0,10.0,32.0,122.0
2025-01-01 00:00:00,AA,1,12,-18.0,-10.0,-7.0,-5.0,11.0,318.0
2025-01-01 00:00:00,AA,5,708,-13.0,-7.0,-4.0,0.0,15.0,1594.0
2025-01-01 00:00:00,AA,6,1163,-18.0,-6.0,-4.0,0.0,19.0,1418.0
2025-01-01 00:00:00,AA,7,1204,-14.0,-6.0,-3.0,1.0,26.0,1771.0
2025-01-01 00:00:00,AA,8,1216,-14.0,-6.0,-3.0,4.0,34.0,1386.0
2025-01-01 00:00:00,AA,9,898,-14.0,-5.0,-2.0,6.0,33.0,786.0
2025-01-01 00:00:00,AA,10,939,-26.0,-5.0,-2.0,14.0,60.0,1559.0
2025-01-01 00:00:00,AA,11,1035,-15.0,-4.0,-1.0,13.0,55.0,582.0
2025-01-01 00:00:00,AA,12,940,-15.0,-4.0,1.0,22.0,76.0,1470.0
2025-01-01 00:00:00,AA,13,960,-18.0,-4.0,0.0,19.0,73.0,1293.0
2025-01-01 00:00:00,AA,14,905,-23.0,-4.0,1.0,27.0,83.0,1168.0
2025-01-01 00:00:00,AA,15,835,-16.0,-4.0,0.0,28.0,85.0,1485.0
2025-01-01 00:00:00,AA,16,979,-20.0,-4.0,0.0,23.0,72.0,1051.0
2025-01-01 00:00:00,AA,17,968,-20.0,-5.0,0.0,25.0,74.0,762.0
2025-01-01 00:00:00,AA,18,1029,-22.0,-3.0,3.0,28.0,76.0,910.0
2025-01-01 00:00:00,AA,19,887,-18.0,-4.0,2.0,29.0,81.0,890.0
2025-01-01 00:00:00,AA,20,813,-26.0,-3.0,2.0,26.0,71.0,768.0
2025-01-01 00:00:00,AA,21,580,-16.0,-4.0,2.0,26.0,73.0,686.0
2025-01-01 00:00:00,AA,22,559,-15.0,-4.0,2.0,21.0,66.0,953.0
2025-01-01 00:00:00,AA,23,241,-13.0,-5.0,-1.0,10.0,41.0,808.0
2025-01-01 00:00:00,DL,0,12,-14.0,-9.0,-5.0,2.0,19.0,23.0
2025-01-01 00:00:00,DL,1,14,-9.0,-6.0,-3.0,19.0,33.0,36.0
2025-01-01 00:00:00,DL,3,6,-7.0,-4.0,-3.0,-2.0,-1.0,-1.0
2025-01-01 00:00:00,DL,5,426,-18.0,-8.0,-4.0,1.0,14.0,358.0
2025-01-01 00:00:00,DL,6,1220,-20.0,-6.0,-3.0,2.0,16.0,565.0
2025-01-01 00:00:00,DL,7,1489,-26.0,-6.0,-3.0,2.0,20.0,911.0
2025-01-01 00:00:00,DL,8,1129,-19.0,-5.0,-2.0,3.0,24.0,772.0
2025-01-01 00:00:00,DL,9,842,-16.0,-5.0,-1.0,6.0,28.0,598.0
2025-01-01 00:00:00,DL,10,945,-22.0,-6.0,-2.0,7.0,34.0,310.0
2025-01-01 00:00:00,DL,11,1300,-18.0,-5.0,-1.0,10.0,36.0,709.0
2025-01-01 00:00:00,DL,12,1043,-21.0,-5.0,-1.0,13.0,43.0,1113.0
2025-01-01 00:00:00,DL,13,891,-16.0,-5.0,-1.0,14.0,42.0,1051.0
